dataset_id,dataset_root,episode_index,parquet_path,expected_frames,rows,global_index_min,global_index_max,max_abs_joint_delta,max_abs_joint_delta_frame,max_abs_joint_delta_joint,max_action_jump,max_action_jump_frame,max_action_jump_joint,max_state_jump,max_state_jump_frame,max_state_jump_joint,max_ts_gap_ms,max_ts_gap_frame,ts_gaps_over_warning,state_left_gripper_min,state_left_gripper_max,state_right_gripper_min,state_right_gripper_max,action_left_gripper_min,action_left_gripper_max,action_right_gripper_min,action_right_gripper_max,video_frames,duplicate_frame_candidates,exclude_reasons,review_reasons,status
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,13,data/chunk-000/episode_000013.parquet,454,454,6369,6822,0.1727278232574463,373,12,0.07032620906829834,379,12,0.06238365173339844,248,13,48.737536,137,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 454, ""observation.images.hand_right"": 454, ""observation.images.top_head"": 454}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,14,data/chunk-000/episode_000014.parquet,423,423,6823,7245,0.14434802532196045,371,12,0.06507682800292969,381,12,0.06067371368408203,261,13,47.685888,172,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 423, ""observation.images.hand_right"": 423, ""observation.images.top_head"": 423}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,15,data/chunk-000/episode_000015.parquet,454,454,7246,7699,0.1693636178970337,394,12,0.0849606990814209,402,12,0.047481417655944824,394,12,52.6848,65,1,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 454, ""observation.images.hand_right"": 454, ""observation.images.top_head"": 454}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,16,data/chunk-000/episode_000016.parquet,425,425,7700,8124,0.13934051990509033,45,12,0.0585627555847168,244,13,0.05899834632873535,244,13,45.561344,223,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 425, ""observation.images.hand_right"": 425, ""observation.images.top_head"": 425}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,17,data/chunk-000/episode_000017.parquet,423,423,8125,8547,0.138525128364563,348,12,0.06385517120361328,355,12,0.05454862117767334,230,13,49.171712,403,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 423, ""observation.images.hand_right"": 423, ""observation.images.top_head"": 423}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,18,data/chunk-000/episode_000018.parquet,400,400,8548,8947,0.19403767585754395,341,12,0.09032094478607178,349,12,0.055508434772491455,224,13,44.109824,156,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 400, ""observation.images.hand_right"": 400, ""observation.images.top_head"": 400}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,19,data/chunk-000/episode_000019.parquet,432,432,8948,9379,0.14812517166137695,355,12,0.06345903873443604,362,12,0.05193126201629639,232,13,45.335808,79,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 432, ""observation.images.hand_right"": 432, ""observation.images.top_head"": 432}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,20,data/chunk-000/episode_000020.parquet,491,491,9380,9870,0.12802749872207642,74,12,0.06180083751678467,422,12,0.05922544002532959,297,13,42.178816,259,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 491, ""observation.images.hand_right"": 491, ""observation.images.top_head"": 491}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,21,data/chunk-000/episode_000021.parquet,490,490,9871,10360,0.1339898705482483,105,12,0.059775590896606445,312,13,0.05639839172363281,318,13,51.192832,348,1,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 490, ""observation.images.hand_right"": 490, ""observation.images.top_head"": 490}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,22,data/chunk-000/episode_000022.parquet,458,458,10361,10818,0.1628021001815796,390,12,0.06798160076141357,400,12,0.0650712251663208,286,13,51.178496,83,1,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 458, ""observation.images.hand_right"": 458, ""observation.images.top_head"": 458}",{},,,pass
